retailer_id,shopper_rtlr_loyalty_id
740,100233044
740,10023325
740,10023327
740,100234177
740,1002342
740,10023426
740,100234272
740,100234516
740,1002346
740,10023462
740,10023496
740,100235
740,1002353
740,10023577
740,1002359
740,100236
740,1002367
740,10023694
740,100237056
740,1002375
740,1002376
740,10023812
740,100238159
740,10023828
740,1002383
740,1002395
740,1002398
740,10024
740,1002400
740,10024049
740,10024113
740,100241370
740,1002424
740,1002425
740,100243082
740,10024426
740,1002444
740,1002445
740,1002446
740,100244931
740,10024509
740,1002453
740,1002457
740,10024654
740,100246577
740,100246827
740,10024711
740,10024725
740,1002473
740,10024752
740,10024759
740,1002482
740,100248535
740,10024900
740,10024916
740,10024998
740,100250
740,100250019
740,1002506
740,10025060
740,100250712
740,1002512
740,1002516
740,10025164
740,100251736
740,10025186
740,100252585
740,1002527
740,100253
740,100253009
740,100254
740,100254464
740,10025451
740,10025509
740,1002554
740,10025543
740,10025580
740,100256
740,1002563
740,10025771
740,100258083
740,1002584
740,1002592
740,10025944
740,10026013
740,1002606
740,10026125
740,1002621
740,100262150
740,1002622
740,1002626
740,1002629
740,100263060
740,100263980
740,1002647
740,100265
740,10026519
740,1002656
740,10026565
740,1002657
740,100265760
740,1002658
740,100266022
740,10026669
740,100267
740,100267724
740,100268
740,10026822
740,10026972
740,100270
740,1002700
740,1002702
740,100270402
740,1002711
740,10027248
740,100272507
740,10027287
740,1002729
740,1002730
740,1002733
740,100273678
740,1002741
740,100274383
740,100274629
740,1002754
740,100275862
740,10027615
740,100276344
740,10027676
740,100277
740,10027733
740,10027749
740,100277554
740,10027774
740,10027777
740,10027811
740,10027983
740,10027987
740,100280
740,10028087
740,10028088
740,10028195
740,10028247
740,1002825
740,100282524
740,1002826
740,10028262
740,100283239
740,10028327
740,100283487
740,1002836
740,10028442
740,1002847
740,100285
740,100285263
740,10028553
740,10028555
740,1002856
740,100285703
740,10028574
740,1002860
740,10028633
740,10028639
740,1002864
740,10028656
740,100287
740,1002872
740,100287282
740,1002877
740,1002878
740,1002885
740,10028873
740,10028887
740,1002889
740,100289952
740,1002922
740,1002929
740,100293219
740,10029337
740,100293635
740,10029434
740,100294949
740,100295215
740,100295271
740,10029574
740,1002958
740,100296
740,10029742
740,1002976
740,100297743
740,100298
740,100298269
740,100298934
740,100299
740,1003
740,1003001
740,100301
740,1003017
740,100301822
740,100301910
740,100302227
740,1003023
740,100302798
740,10030325
740,10030422
740,100304253
740,1003043
740,1003044
740,100304465
740,100305
740,1003053
740,100305314
740,1003059
740,100306
740,10030600
740,100307250
740,10030765
740,1003085
740,10030913
740,10030955
740,100310
740,1003102
740,100310831
740,10031112
740,1003124
740,10031249
740,1003125
740,100312763
740,100313853
740,100314227
740,10031473
740,100315
740,100315235
740,1003155
740,1003157
740,10031674
740,100317
740,1003170
740,1003175
740,1003177
740,100317877
740,100318249
740,10031887
740,1003208
740,100321
740,1003212
740,1003216
740,100321764
740,1003220
740,100322593
740,1003226
740,100323881
740,100324
740,100324948
740,10032508
740,100327694
740,100328598
740,100328657
740,10033
740,100330
740,1003304
740,10033058
740,10033103
740,100331784
740,10033186
740,100332958
740,100334
740,1003344
740,1003349
740,100335
740,100335664
740,100335667
740,10033759
740,10033777
740,10033802
740,100338296
740,100338599
740,10033888
740,100339
740,1003411
740,100342
740,100342303
740,100342411
740,10034511
740,100345314
740,10034574
740,10034709
740,1003474
740,100348060
740,100348460
740,100349186
740,100349446
740,10034982
740,100351150
740,10035123
740,100353487
740,100353977
740,100354263
740,10035477
740,1003553
740,100355548
740,100356
740,100356162
740,1003563
740,100357902
740,100357948
740,100358
740,100359
740,100360
740,1003602
740,1003605
740,100360509
740,100360581
740,100360598
740,10036102
740,1003613
740,1003628
740,100364504
740,100364593
740,1003646
740,100364929
740,100365
740,100366107
740,1003664
740,100366791
740,1003670
740,10036761
740,1003677
740,100368344
740,100368850
740,10036903
740,10037
740,100370
740,100370178
740,1003706
740,100370888
740,100371
740,1003720
740,1003734
740,100374124
740,100374264
740,1003743
740,1003746
740,100375
740,100375431
740,1003755
740,1003758
740,1003760
740,1003761
740,1003765
740,1003770
740,100377068
740,100377290
740,1003774
740,1003779
740,100377953
740,1003780
740,100378278
740,1003783
740,10037837
740,1003787
740,100378999
740,1003790
740,1003791
740,1003792
740,1003799
740,100380
740,100380474
740,100380506
740,1003811
740,1003813
740,100381979
740,100382327
740,1003828
740,100383
740,100383290
740,1003833
740,100383953
740,1003853
740,100386
740,100386250
740,1003863
740,10038638
740,10038759
740,100387686
740,100388
740,1003885
740,100388542
740,1003886
740,1003890
740,1003894
740,1003897
740,1003899
740,100390
740,10039001
740,1003901
740,1003903
740,1003905
740,100390666
740,1003907
740,100390728
740,1003908
740,100391276
740,1003918
740,100392
740,1003920
740,1003921
740,1003924
740,1003936
740,10039402
740,1003945
740,1003946
740,1003947
740,10039500
740,1003957
740,10039609
740,1003963
740,1003965
740,1003969
740,1003973
740,1003979
740,1003980
740,100399
740,1003992
740,1003995
740,1003997
740,100399904
740,1004000
740,1004001
740,1004005
740,1004007
740,1004009
740,1004015
740,100402
740,10040210
740,100402281
740,10040271
740,1004028
740,1004030
740,100403159
740,1004032
740,100403227
740,1004033
740,10040336
740,1004034
740,1004035
740,1004036
740,1004038
740,100403912
740,1004041
740,1004042
740,1004048
740,10040484
740,100405
740,1004051
740,100405170
740,100405585
740,1004057
740,1004059
740,10040594
740,1004060
740,100406157
740,1004065
740,1004071
740,1004072
740,1004078
740,100408
740,1004087
740,100408823
740,100409
740,1004093
740,1004095
740,100410
740,1004103
740,100410408
740,1004106
740,10041060
740,1004107
740,100411
740,100411051
740,1004112
740,100411270
740,1004113
740,100411432
740,1004116
740,1004117
740,1004119
740,10041191
740,1004121
740,10041218
740,1004123
740,1004127
740,1004134
740,1004135
740,1004136
740,10041379
740,1004139
740,100414
740,1004143
740,100414445
740,100414937
740,100415
740,1004151
740,100415225
740,1004153
740,1004156
740,100416
740,1004161
740,1004163
740,1004166
740,1004170
740,100417032
740,10041712
740,100417310
740,1004175
740,1004176
740,100417689
740,100417829
740,1004180
740,100418037
740,1004182
740,1004183
740,1004186
740,1004187
740,10041893
740,100418940
740,1004196
740,100419653
740,10042
740,10042002
740,1004209
740,100421
740,1004210
740,1004211
740,1004212
740,100421552
740,100421837
740,1004219
740,100422
740,100422051
740,1004225
740,1004227
740,10042270
740,1004232
740,1004234
740,1004239
740,100424
740,1004245
740,1004249
740,100425
740,1004252
740,1004255
740,1004257
740,1004258
740,1004259
740,1004264
740,100426418
740,1004266
740,1004271
740,1004272
740,1004275
740,100427670
740,1004280
740,100428060
740,1004282
740,1004283
740,10042860
740,1004287
740,1004289
740,1004294
740,1004295
740,1004297
740,10042985
740,100430
740,1004301
740,1004302
740,100430226
740,1004303
740,100430393
740,1004308
740,1004312
740,100431434
740,1004316
740,100432
740,1004320
740,1004325
740,1004326
740,100433
740,1004330
740,10043343
740,1004335
740,10043351
740,10043377
740,10043382
740,1004339
740,10043401
740,10043402
740,10043417
740,10043424
740,10043433
740,10043440
740,1004345
740,10043461
740,10043463
740,10043466
740,10043475
740,1004348
740,10043494
740,100435051
740,10043506
740,1004353
740,10043544
740,10043569
740,10043570
740,10043595
740,10043596
740,10043613
740,1004362
740,1004365
740,10043653
740,10043657
740,10043667
740,1004367
740,10043672
740,10043684
740,10043693
740,100437
740,10043706
740,100437218
740,10043744
740,10043758
740,10043775
740,10043778
740,1004378
740,10043784
740,10043800
740,100438108
740,10043832
740,10043835
740,10043841
740,1004385
740,10043856
740,10043876
740,10043878
740,10043881
740,10043883
740,10043889
740,10043898
740,100439
740,1004390
740,1004391
740,10043925
740,10043938
740,10043948
740,1004395
740,10043955
740,10043957
740,1004396
740,10043964
740,10043974
740,10043983
740,10043995
740,10044
740,10044000
740,10044005
740,1004401
740,10044010
740,1004404
740,10044054
740,10044068
740,10044069
740,1004407
740,10044072
740,1004408
740,10044080
740,10044081
740,10044088
740,1004409
740,100440935
740,10044122
740,10044127
740,10044128
740,1004413
740,10044150
740,10044152
740,10044161
740,10044177
740,1004418
740,1004419
740,10044220
740,1004423
740,10044249
740,10044250
740,10044265
740,10044280
740,10044294
740,10044296
740,10044302
740,10044309
740,1004431
740,10044312
740,1004432
740,10044330
740,1004435
740,1004436
740,10044362
740,10044375
740,10044386
740,10044397
740,1004440
740,100444144
740,10044425
740,1004443
740,10044435
740,100444363
740,10044438
740,10044442
740,10044458
740,1004447
740,1004448
740,100445
740,1004451
740,10044518
740,10044525
740,10044547
740,10044559
740,10044560
740,10044565
740,1004457
740,10044580
740,10044586
740,1004459
740,10044590
740,100446
740,100446400
740,10044653
740,1004467
740,10044687
740,10044690
740,10044697
740,100447
740,10044703
740,100447136
740,1004472
740,10044725
740,100447280
740,10044734
740,10044737
740,10044751
740,10044753
740,10044771
740,10044782
740,10044785
740,1004482
740,10044827
740,10044869
740,10044873
740,10044879
740,10044899
740,100449
740,10044902
740,10044918
740,10044937
740,1004495
